Place,Competitor,DOB,Nationality,Score,Date,ResultScore,City
1, Kelvin KIPTUM, 02 DEC 1999, KEN, 1504," 08 OCT 2023"""," ""1322""",Marathon
1, Kelvin KIPTUM, 02 DEC 1999, KEN, 1504," 23 APR 2023"""," ""1307""",Marathon
2, Tamirat TOLA, 11 AUG 1991, ETH, 1457," 05 NOV 2023"""," ""1245""",Marathon
2, Tamirat TOLA, 11 AUG 1991, ETH, 1457," 27 AUG 2023"""," ""World Athletics Championships",Marathon
2, Tamirat TOLA, 11 AUG 1991, ETH, 1457," 23 APR 2023"""," ""1245""",Marathon
3, Benson KIPRUTO, 17 MAR 1991, KEN, 1438," 08 OCT 2023"""," ""1261""",Marathon
3, Benson KIPRUTO, 17 MAR 1991, KEN, 1438," 25 JUN 2023"""," ""1073""",10 Kilometres Road
3, Benson KIPRUTO, 17 MAR 1991, KEN, 1438," 17 APR 2023"""," ""1207""",Marathon
3, Benson KIPRUTO, 17 MAR 1991, KEN, 1438," 26 FEB 2023"""," ""1141""",Half Marathon
4, Sisay LEMMA, 12 DEC 1990, ETH, 1422," 03 DEC 2023"""," ""1300""",Marathon
4, Sisay LEMMA, 12 DEC 1990, ETH, 1422," 08 OCT 2023"""," ""1140""",Half Marathon
4, Sisay LEMMA, 12 DEC 1990, ETH, 1422," 07 MAY 2023"""," ""1220""",Marathon
4, Sisay LEMMA, 12 DEC 1990, ETH, 1422," 05 MAR 2023"""," ""Tokyo Marathon",Marathon
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419," 03 DEC 2023"""," ""1276""",Marathon
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419," 15 OCT 2023"""," ""1130""",Half Marathon
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419," 02 SEP 2023"""," ""1150""",10 Kilometres Road
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419," 12 JUL 2023"""," ""1092""",5000 Metres
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419, 27:47.56 ," ""JPN""",10
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419," 07 MAY 2023"""," ""1242""",Marathon
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419, 28:43.42 ," ""KEN""",10
5, Alexander MUNYAO, 10 SEP 1996, KEN, 1419," 05 FEB 2023"""," ""1215""",Half Marathon
6, Bashir ABDI, 10 FEB 1989, BEL, 1406," 08 OCT 2023"""," ""1253""",Marathon
6, Bashir ABDI, 10 FEB 1989, BEL, 1406, DNF ," ""BEL""",10
6, Bashir ABDI, 10 FEB 1989, BEL, 1406," 16 APR 2023"""," ""1266""",Marathon
6, Bashir ABDI, 10 FEB 1989, BEL, 1406," 12 MAR 2023"""," ""1192""",Half Marathon
7, CyBrian KOTUT, 06 JUN 1992, KEN, 1392," 15 OCT 2023"""," ""1252""",Marathon
8, Vincent Kipkemoi NGETICH, 03 JAN 1999, KEN, 1388," 24 SEP 2023"""," ""1275""",Marathon
8, Vincent Kipkemoi NGETICH, 03 JAN 1999, KEN, 1388," 30 APR 2023"""," ""1180""",Half Marathon
8, Vincent Kipkemoi NGETICH, 03 JAN 1999, KEN, 1388," 08 APR 2023"""," ""1115""",10 Kilometres Road
8, Vincent Kipkemoi NGETICH, 03 JAN 1999, KEN, 1388," 12 MAR 2023"""," ""1220""",Half Marathon
9, Kenenisa BEKELE, 13 JUN 1982, ETH, 1372," 03 DEC 2023"""," ""1256""",Marathon
9, Kenenisa BEKELE, 13 JUN 1982, ETH, 1372," 23 APR 2023"""," ""TCS London Marathon",Marathon
10, Timothy KIPLAGAT, 18 SEP 1993, KEN, 1368," 31 DEC 2023"""," ""1023""",15 Kilometres Road
10, Timothy KIPLAGAT, 18 SEP 1993, KEN, 1368," 27 AUG 2023"""," ""1137""",Marathon
10, Timothy KIPLAGAT, 18 SEP 1993, KEN, 1368," 16 APR 2023"""," ""1265""",Marathon
11, Emile CAIRESS, 27 DEC 1997, GBR, 1358," 17 SEP 2023"""," ""1152""",Half Marathon
11, Emile CAIRESS, 27 DEC 1997, GBR, 1358," 26 JUL 2023"""," ""Giro Podistico di Castelbuono",Road Race
11, Emile CAIRESS, 27 DEC 1997, GBR, 1358," 08 JUL 2023"""," ""1056""",5000 Metres
11, Emile CAIRESS, 27 DEC 1997, GBR, 1358," 01 JUL 2023"""," ""1121""",3000 Metres
11, Emile CAIRESS, 27 DEC 1997, GBR, 1358," 27 MAY 2023"""," ""1076""",5000 Metres
11, Emile CAIRESS, 27 DEC 1997, GBR, 1358," 23 APR 2023"""," ""1192""",Marathon
12, Eliud KIPCHOGE, 05 NOV 1984, KEN, 1351," 24 SEP 2023"""," ""1284""",Marathon
12, Eliud KIPCHOGE, 05 NOV 1984, KEN, 1351," 17 APR 2023"""," ""1151""",Marathon
13, Tadese TAKELE, 03 AUG 2002, ETH, 1346," 24 SEP 2023"""," ""1272""",Marathon
13, Tadese TAKELE, 03 AUG 2002, ETH, 1346," 29 APR 2023"""," ""1184""",Half Marathon
13, Tadese TAKELE, 03 AUG 2002, ETH, 1346," 26 MAR 2023"""," ""1154""",Half Marathon
13, Tadese TAKELE, 03 AUG 2002, ETH, 1346," 05 MAR 2023"""," ""1180""",Half Marathon
14, Deresa GELETA, 14 JAN 1996, ETH, 1341," 29 OCT 2023"""," ""1199""",Marathon
14, Deresa GELETA, 14 JAN 1996, ETH, 1341," 12 FEB 2023"""," ""1230""",Marathon
15, Joshua BELET, 10 FEB 1998, KEN, 1340," 15 OCT 2023"""," ""1257""",Marathon
15, Joshua BELET, 10 FEB 1998, KEN, 1340," 27 AUG 2023"""," ""World Athletics Championships",Marathon
15, Joshua BELET, 10 FEB 1998, KEN, 1340," 23 APR 2023"""," ""1252""",Marathon
16, Evans CHEBET, 10 NOV 1988, KEN, 1340," 17 APR 2023"""," ""1210""",Marathon
17, Othmane EL GOUMRI, 28 MAY 1992, MAR, 1339," 19 NOV 2023"""," ""1108""",Half Marathon
17, Othmane EL GOUMRI, 28 MAY 1992, MAR, 1339," 17 SEP 2023"""," ""1188""",Marathon
17, Othmane EL GOUMRI, 28 MAY 1992, MAR, 1339," 19 MAR 2023"""," ""1241""",Marathon
18, Gabriel Gerald GEAY, 10 SEP 1996, TAN, 1337," 03 DEC 2023"""," ""1252""",Marathon
18, Gabriel Gerald GEAY, 10 SEP 1996, TAN, 1337," 04 JUL 2023"""," ""1145""",10 Kilometres Road
18, Gabriel Gerald GEAY, 10 SEP 1996, TAN, 1337," 25 JUN 2023"""," ""1149""",10 Kilometres Road
