Discipline, Mark, Date, Country, ResultScore, Competition, Category, Race, Place
['Marathon $ 1:59:41  $ 12 OCT 2019 $ INEOS 1:59 Challenge, Prater Hauptallee, Wien', 'AUT', 'F', 'F', '1', 'EXH']
['Marathon $ 2:02:37  $ 28 APR 2019 $ Virgin Money London Marathon, London', 'GBR', '1286', 'GL', 'F', '1']
['Marathon $ 2:05:45  $ 13 OCT 2019 $ Bank of America Chicago Marathon, Chicago, IL', 'USA', '1232', 'GL', 'F', '1']
['Half Marathon $ 1:04:09  $ 28 JUL 2019 $ Media Maraton de Bogota, Bogot�', 'COL', '1025', 'A', 'F', '2']
["Half Marathon $ 1:00:46 * $ 02 JUN 2019 $ Rock 'n' Roll Half Marathon, San Diego, CA", 'USA', '1132', 'E', 'F', '2']
['Marathon $ 2:07:57 * $ 15 APR 2019 $ B.A.A. Boston Marathon, Boston, MA', 'USA', '1175', 'GL', 'F', '1']
['Marathon $ 2:07:19  $ 01 DEC 2019 $ Marat�n Valencia Trinidad Alfonso EDP, Valencia', 'ESP', '1205', 'GL', 'F', '9']
['Marathon $ DNF  $ 29 SEP 2019 $ BMW BERLIN-MARATHON, Berlin', 'GER', 'GL', 'F']
['Marathon $ 2:07:15  $ 28 APR 2019 $ Virgin Money London Marathon, London', 'GBR', '1206', 'GL', 'F', '8']
['Marathon $ 2:10:44  $ 05 OCT 2019 $ IAAF World Championships in Athletics, Corniche, Doha', 'QAT', '1148', 'OW', 'F', '2']
['Marathon $ 2:02:55  $ 28 APR 2019 $ Virgin Money London Marathon, London', 'GBR', '1281', 'GL', 'F', '2']
['Half Marathon $ 59:37  $ 17 MAR 2019 $ EDP Meia Maratona de Lisboa, Lisboa', 'POR', '1202', 'A', 'F', '1']
['Marathon $ 2:09:20  $ 03 NOV 2019 $ TCS New York City Marathon, New York, NY', 'USA', '1171', 'GL', 'F', '4']
['Half Marathon $ 59:13 * $ 08 SEP 2019 $ South Shields Great North Run, South Shields', 'GBR', '1210', 'E', 'F', '2']
['Half Marathon $ 1:02:35  $ 28 JUL 2019 $ Media Maraton de Bogota, Bogot�', 'COL', '1085', 'A', 'F', '1']
