Place,Competitor,DOB,Nat,Nat.1_SRC,Score,Event_List
1,Kelvin KIPTUM,02 DEC 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1504,Marathon
2,Tamirat TOLA,11 AUG 1991,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1457,Marathon
3,Benson KIPRUTO,17 MAR 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1438,Marathon
4,Sisay LEMMA,12 DEC 1990,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1422,Marathon
5,Alexander MUNYAO,10 SEP 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1419,Marathon
6,Bashir ABDI,10 FEB 1989,BEL,https://media.aws.iaaf.org/Flags/BEL.gif,1406,Marathon
7,CyBrian KOTUT,06 JUN 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1392,Marathon
8,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1388,Marathon
9,Kenenisa BEKELE,13 JUN 1982,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1372,Marathon
10,Timothy KIPLAGAT,18 SEP 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1368,Marathon
11,Emile CAIRESS,27 DEC 1997,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1358,Marathon
12,Eliud KIPCHOGE,05 NOV 1984,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1351,Marathon
13,Tadese TAKELE,03 AUG 2002,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1346,Marathon
14,Deresa GELETA,14 JAN 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1341,Marathon
15,Joshua BELET,10 FEB 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1340,Marathon
16,Evans CHEBET,10 NOV 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1340,Marathon
17,Othmane EL GOUMRI,28 MAY 1992,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1339,Marathon
18,Gabriel Gerald GEAY,10 SEP 1996,TAN,https://media.aws.iaaf.org/Flags/TAN.gif,1337,Marathon
19,Brimin KIPKORIR,1989,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1336,Marathon
20,Hailemaryam KIROS,05 FEB 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1334,Marathon
21,Bethwel KIBET,04 AUG 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1330,Marathon
22,Dawit WOLDE,19 MAY 1991,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1325,Marathon
23,Stephen KIPROP,08 SEP 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1323,Marathon
24,Milkesa MENGESHA,16 APR 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1321,Marathon
25,Jemal MEKONEN,11 SEP 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1319,Marathon [Half Marathon]
26,Birhanu LEGESE,11 SEP 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1319,Marathon
27,Solomon Kirwa YEGO,10 MAY 1987,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1317,Marathon
28,Felix KIRWA,08 OCT 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1317,Marathon
29,Haymanot ALEW,11 NOV 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1313,Marathon
30,John KORIR,02 DEC 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1311,Marathon
31,Seifu TURA,19 JUN 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1311,Marathon
