Place,Competitor,DOB,Nat,Nat.1_SRC,Score,Event_List,Athlete_URL
1,Kelvin KIPTUM,02 DEC 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1504,Marathon,/athletes/kenya/kelvin-kiptum-014859609
2,Tamirat TOLA,11 AUG 1991,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1457,Marathon,/athletes/ethiopia/tamirat-tola-14589459
3,Benson KIPRUTO,17 MAR 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1438,Marathon,/athletes/kenya/benson-kipruto-14758213
4,Sisay LEMMA,12 DEC 1990,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1422,Marathon,/athletes/ethiopia/sisay-lemma-14547527
5,Alexander MUNYAO,10 SEP 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1419,Marathon,/athletes/kenya/alexander-munyao-14590685
6,Bashir ABDI,10 FEB 1989,BEL,https://media.aws.iaaf.org/Flags/BEL.gif,1406,Marathon,/athletes/belgium/bashir-abdi-14375137
7,CyBrian KOTUT,06 JUN 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1392,Marathon,/athletes/kenya/cybrian-kotut-14425928
8,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1388,Marathon,/athletes/kenya/vincent-kipkemoi-ngetich-14813827
9,Kenenisa BEKELE,13 JUN 1982,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1372,Marathon,/athletes/ethiopia/kenenisa-bekele-14181357
10,Timothy KIPLAGAT,18 SEP 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1368,Marathon,/athletes/kenya/timothy-kiplagat-14825076
11,Emile CAIRESS,27 DEC 1997,GBR,https://media.aws.iaaf.org/Flags/GBR.gif,1358,Marathon,/athletes/great-britain-ni/emile-cairess-14644747
12,Eliud KIPCHOGE,05 NOV 1984,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1351,Marathon,/athletes/kenya/eliud-kipchoge-14208194
13,Tadese TAKELE,03 AUG 2002,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1346,Marathon,/athletes/ethiopia/tadese-takele-14894746
14,Deresa GELETA,14 JAN 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1341,Marathon,/athletes/ethiopia/deresa-geleta-14816982
15,Joshua BELET,10 FEB 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1340,Marathon,/athletes/kenya/joshua-belet-14802771
16,Evans CHEBET,10 NOV 1988,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1340,Marathon,/athletes/kenya/evans-chebet-014483236
17,Othmane EL GOUMRI,28 MAY 1992,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1339,Marathon,/athletes/morocco/othmane-el-goumri-14413330
18,Gabriel Gerald GEAY,10 SEP 1996,TAN,https://media.aws.iaaf.org/Flags/TAN.gif,1337,Marathon,/athletes/tanzania/gabriel-gerald-geay-14677692
19,Brimin KIPKORIR,1989,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1336,Marathon,/athletes/kenya/brimin-kipkorir-014208274
20,Hailemaryam KIROS,05 FEB 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1334,Marathon,/athletes/ethiopia/hailemaryam-kiros-14921809
21,Bethwel KIBET,04 AUG 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1330,Marathon,/athletes/kenya/bethwel-kibet-14918111
22,Dawit WOLDE,19 MAY 1991,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1325,Marathon,/athletes/ethiopia/dawit-wolde-14181700
23,Stephen KIPROP,08 SEP 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1323,Marathon,/athletes/kenya/stephen-kiprop-014834360
24,Milkesa MENGESHA,16 APR 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1321,Marathon,/athletes/ethiopia/milkesa-mengesha-14805798
25,Jemal MEKONEN,11 SEP 1996,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1319,Marathon [Half Marathon],/athletes/ethiopia/jemal-mekonen-14757695
26,Birhanu LEGESE,11 SEP 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1319,Marathon,/athletes/ethiopia/birhanu-legese-014554061
27,Solomon Kirwa YEGO,10 MAY 1987,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1317,Marathon,/athletes/kenya/solomon-kirwa-yego-014437533
28,Felix KIRWA,08 OCT 1995,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1317,Marathon,/athletes/kenya/felix-kirwa-014692705
29,Haymanot ALEW,11 NOV 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1313,Marathon,/athletes/ethiopia/haymanot-alew-014693559
30,John KORIR,02 DEC 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1311,Marathon,/athletes/kenya/john-korir-014845463
31,Seifu TURA,19 JUN 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1311,Marathon,/athletes/ethiopia/seifu-tura-14679817
32,Chalu DESO,14 DEC 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1308,Marathon,/athletes/ethiopia/chalu-deso-14812121
33,Albert KORIR,02 MAR 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1307,Marathon,/athletes/kenya/albert-korir-014645745
34,Kibiwott KANDIE,20 JUN 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1307,Marathon [Half Marathon],/athletes/kenya/kibiwott-kandie-14780952
35,Mohamed ESA,11 SEP 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1305,Marathon,/athletes/ethiopia/mohamed-esa-15002406
36,Alphonce Felix SIMBU,14 FEB 1992,TAN,https://media.aws.iaaf.org/Flags/TAN.gif,1304,Marathon,/athletes/tanzania/alphonce-felix-simbu-14487535
37,Philimon Kiptoo KIPCHUMBA,16 OCT 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1302,Marathon,/athletes/kenya/philimon-kiptoo-kipchumba-14920350
38,Abdi NAGEEYE,02 MAR 1989,NED,https://media.aws.iaaf.org/Flags/NED.gif,1302,Marathon,/athletes/netherlands/abdi-nageeye-14214214
39,Leul GEBRESILASE,20 SEP 1992,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1297,Marathon,/athletes/ethiopia/leul-gebresilase-14477361
40,Conner MANTZ,08 DEC 1996,USA,https://media.aws.iaaf.org/Flags/USA.gif,1296,Marathon,/athletes/united-states/conner-mantz-14628442
41,Ronald KORIR,10 APR 1991,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1294,Marathon,/athletes/kenya/ronald-korir-014579745
42,Lemi BERHANU,13 SEP 1994,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1291,Marathon,/athletes/ethiopia/lemi-berhanu-14639731
43,Tadesse ABRAHAM,12 AUG 1982,SUI,https://media.aws.iaaf.org/Flags/SUI.gif,1290,Marathon,/athletes/switzerland/tadesse-abraham-14167400
44,Tebello RAMAKONGOANA,13 OCT 1996,LES,https://media.aws.iaaf.org/Flags/LES.gif,1285,Marathon,/athletes/lesotho/tebello-ramakongoana-14794838
45,Akira AKASAKI,21 JAN 1998,JPN,https://media.aws.iaaf.org/Flags/JPN.gif,1280,Marathon,/athletes/japan/akira-akasaki-14765559
46,Amanal PETROS,17 MAY 1995,GER,https://media.aws.iaaf.org/Flags/GER.gif,1280,Marathon,/athletes/germany/amanal-petros-14572523
47,Enock ONCHARI,16 JAN 1999,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1278,Marathon,/athletes/kenya/enock-onchari-14964832
48,Edwin KIPTOO,14 AUG 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1276,Marathon,/athletes/kenya/edwin-kiptoo-14723152
49,Laban Kipngetich KORIR,30 JUN 1985,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1275,Marathon,/athletes/kenya/laban-kipngetich-korir-014328122
50,Rhonzas Lokitam KILIMO,05 SEP 1996,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1273,Marathon,/athletes/kenya/rhonzas-lokitam-kilimo-14704912
51,Gashau AYALE,22 AUG 1996,ISR,https://media.aws.iaaf.org/Flags/ISR.gif,1271,Marathon,/athletes/israel/gashau-ayale-14714462
52,Edmond KIPNGETICH,30 MAR 1994,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1269,Marathon,/athletes/kenya/edmond-kipngetich-14834361
53,Philemon KIPLIMO,10 OCT 1998,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1268,Marathon,/athletes/kenya/philemon-kiplimo-014862286
54,Zouhair TALBI,08 APR 1995,MAR,https://media.aws.iaaf.org/Flags/MAR.gif,1268,Marathon,/athletes/morocco/zouhair-talbi-14577963
55,Derseh KINDIE,04 FEB 1999,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1266,Marathon,/athletes/ethiopia/derseh-kindie-14936451
56,Samwel Nyamai MAILU,07 FEB 1993,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1265,Marathon [Half Marathon],/athletes/kenya/samwel-nyamai-mailu-15018129
57,Mike Kiptum BOIT,14 SEP 1992,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1264,Marathon,/athletes/kenya/mike-kiptum-boit-14812860
58,Mulugeta Asefa UMA,12 MAR 1998,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1264,Marathon,/athletes/ethiopia/mulugeta-asefa-uma-014661608
59,Haftu TEKLU,21 JAN 2000,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1262,Marathon [Half Marathon],/athletes/ethiopia/haftu-teklu-14757121
60,Tadu ABATE,11 SEP 1997,ETH,https://media.aws.iaaf.org/Flags/ETH.gif,1262,Marathon,/athletes/ethiopia/tadu-abate-14785774
61,Kenneth Kiprop KIPKEMOI,02 AUG 1984,KEN,https://media.aws.iaaf.org/Flags/KEN.gif,1262,Marathon,/athletes/kenya/kenneth-kiprop-kipkemoi-014383248
