Place,Competitor,DOB,Nationality,Score,Date,res,city,place
1, Kelvin KIPTUM,02 DEC 1999, KEN, 1504, 08 OCT 2023,USA,Chicago,1
1, Kelvin KIPTUM,02 DEC 1999, KEN, 1504, 23 APR 2023,GBR,London,1
2, Tamirat TOLA,11 AUG 1991, ETH, 1457, 05 NOV 2023,USA,New York,F
2, Tamirat TOLA,11 AUG 1991, ETH, 1457, 27 AUG 2023,Hősök tere,Budapest 2023,3
2, Tamirat TOLA,11 AUG 1991, ETH, 1457, 23 APR 2023,GBR,London,2
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 08 OCT 2023,USA,Chicago,7
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 25 JUN 2023,USA,Boston,3
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 17 APR 2023,USA,Boston,3
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 26 FEB 2023,MEX,Guadalajara,1
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 03 DEC 2023,ESP,Valencia,1
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 08 OCT 2023,TUR,Ankara,2
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 07 MAY 2023,CZE,Praha,F
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 05 MAR 2023,JPN,Tokyo,2
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 03 DEC 2023,ESP,Valencia,4
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 15 OCT 2023,JPN,Tokyo,2
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 02 SEP 2023,CZE,Praha,1
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 12 JUL 2023,JPN,Municipal Stadium,5
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 27:47.56 ,JPN,Hokuren Distance Challenge 2023 - Abashiri,1
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 07 MAY 2023,CZE,Praha,1
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 28:43.42 ,CZE,2nd Athletics Kenya Weekend Meeting,1
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 05 FEB 2023,JPN,Marugame,3
6, Bashir ABDI,10 FEB 1989, BEL, 1406, 08 OCT 2023,USA,Chicago,F
6, Bashir ABDI,10 FEB 1989, BEL, 1406, DNF ,Boudewijnstadion,Memorial van Damme,1
6, Bashir ABDI,10 FEB 1989, BEL, 1406, 16 APR 2023,NED,Rotterdam,1
6, Bashir ABDI,10 FEB 1989, BEL, 1406, 12 MAR 2023,BEL,Gent - Belgian Half Marathon Ch,2
7, CyBrian KOTUT,06 JUN 1992, KEN, 1392, 15 OCT 2023,NED,Amsterdam,2
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 24 SEP 2023,GER,Berlin,5
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 30 APR 2023,TUR,Istanbul,1
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 08 APR 2023,GAB,Port Gentil,3
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 12 MAR 2023,POR,Lisboa - Elite Event,4
9, Kenenisa BEKELE,13 JUN 1982, ETH, 1372, 03 DEC 2023,ESP,Valencia,F
9, Kenenisa BEKELE,13 JUN 1982, ETH, 1372, 23 APR 2023,GBR,London,1
10, Timothy KIPLAGAT,18 SEP 1993, KEN, 1368, 31 DEC 2023,BRA,São Paulo,13
10, Timothy KIPLAGAT,18 SEP 1993, KEN, 1368, 27 AUG 2023,BRA,Budapest 2023,2
10, Timothy KIPLAGAT,18 SEP 1993, KEN, 1368, 16 APR 2023,NED,Rotterdam,10
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 17 SEP 2023,DEN,København,3
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 26 JUL 2023,273m,Castelbuono - Non-standard distance: 11,2
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 08 JUL 2023,GBR,Manchester Regional Arena,2
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 01 JUL 2023,GBR,Woodside Stadium,1
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 27 MAY 2023,GBR,Sportcity Regional Arena,6
11, Emile CAIRESS,27 DEC 1997, GBR, 1358, 23 APR 2023,GBR,London,1
12, Eliud KIPCHOGE,05 NOV 1984, KEN, 1351, 24 SEP 2023,GER,Berlin,6
12, Eliud KIPCHOGE,05 NOV 1984, KEN, 1351, 17 APR 2023,USA,Boston,3
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 24 SEP 2023,GER,Berlin,1
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 29 APR 2023,GER,Adi-Dassler-Straße 1,2
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 26 MAR 2023,ESP,Madrid,3
13, Tadese TAKELE,03 AUG 2002, ETH, 1346, 05 MAR 2023,ITA,Roma,1
14, Deresa GELETA,14 JAN 1996, ETH, 1341, 29 OCT 2023,CHN,Beijing,2
14, Deresa GELETA,14 JAN 1996, ETH, 1341, 12 FEB 2023,UAE,Dubai,1
15, Joshua BELET,10 FEB 1998, KEN, 1340, 15 OCT 2023,NED,Amsterdam,F
15, Joshua BELET,10 FEB 1998, KEN, 1340, 27 AUG 2023,Hősök tere,Budapest 2023,2
15, Joshua BELET,10 FEB 1998, KEN, 1340, 23 APR 2023,GER,Hamburg,1
16, Evans CHEBET,10 NOV 1988, KEN, 1340, 17 APR 2023,USA,Boston,4
17, Othmane EL GOUMRI,28 MAY 1992, MAR, 1339, 19 NOV 2023,HKG,Hong Kong-Zhuhai-Macao Bridge,1
17, Othmane EL GOUMRI,28 MAY 1992, MAR, 1339, 17 SEP 2023,AUS,presented by Asics,2
17, Othmane EL GOUMRI,28 MAY 1992, MAR, 1339, 19 MAR 2023,ESP,Barcelona,5
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 03 DEC 2023,ESP,Valencia,2
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 04 JUL 2023,USA,Atlanta,1
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 25 JUN 2023,USA,Boston,2
18, Gabriel Gerald GEAY,10 SEP 1996, TAN, 1337, 17 APR 2023,USA,Boston,1
19, Brimin KIPKORIR,1989, KEN, 1336, 29 OCT 2023,GER,Frankfurt,13
19, Brimin KIPKORIR,1989, KEN, 1336, 05 MAR 2023,JPN,Tokyo,1
20, Hailemaryam KIROS,05 FEB 1997, ETH, 1334, 11 JUN 2023,CHN,Lanzhou,1
20, Hailemaryam KIROS,05 FEB 1997, ETH, 1334, 26 FEB 2023,JPN,Osaka,3
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 15 OCT 2023,NED,Amsterdam,4
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 17 SEP 2023,NED,Zaandam,4
21, Bethwel KIBET,04 AUG 1991, KEN, 1330, 28:48.21 ,NED,Kenya Defence Forces Championships,5
